TIME wclk4 wclk0 wclk1 wclk2 wclk3 wctl2 wctl2 
 1.36829E-11  3.06281E-01 -7.30501E-03  6.99896E-01 -4.13565E-05  6.95300E-01  7.00000E-01  7.00000E-01 
 1.36924E-11  3.06056E-01 -7.31000E-03  6.99896E-01 -4.13148E-05  6.95299E-01  7.00000E-01  7.00000E-01 
 1.37451E-11  3.04808E-01 -7.33809E-03  6.99896E-01 -4.10848E-05  6.95294E-01  7.00000E-01  7.00000E-01 
 1.37973E-11  3.03571E-01 -7.36605E-03  6.99895E-01 -4.08578E-05  6.95289E-01  7.00000E-01  7.00000E-01 
 1.37982E-11  3.03550E-01 -7.36652E-03  6.99895E-01 -4.08539E-05  6.95289E-01  7.00000E-01  7.00000E-01 
 1.38501E-11  3.02320E-01 -7.39395E-03  6.99895E-01 -4.06296E-05  6.95284E-01  7.00000E-01  7.00000E-01 
 1.38886E-11  3.01407E-01 -7.41359E-03  6.99895E-01 -4.04639E-05  6.95280E-01  7.00000E-01  7.00000E-01 
 1.39044E-11  3.01034E-01 -7.42161E-03  6.99895E-01 -4.03963E-05  6.95279E-01  7.00000E-01  7.00000E-01 
 1.39611E-11  2.99688E-01 -7.44841E-03  6.99895E-01 -4.01538E-05  6.95274E-01  7.00000E-01  7.00000E-01 
 1.39643E-11  2.99612E-01 -7.44973E-03  6.99895E-01 -4.01401E-05  6.95273E-01  7.00000E-01  7.00000E-01 
 1.40210E-11  2.98262E-01 -7.47307E-03  6.99895E-01 -3.98982E-05  6.95268E-01  7.00000E-01  7.00000E-01 
 1.40305E-11  2.98037E-01 -7.47606E-03  6.99895E-01 -3.98579E-05  6.95267E-01  7.00000E-01  7.00000E-01 
 1.40852E-11  2.96734E-01 -7.49339E-03  6.99895E-01 -3.96249E-05  6.95262E-01  7.00000E-01  7.00000E-01 
 1.40911E-11  2.96596E-01 -7.49442E-03  6.99895E-01 -3.96001E-05  6.95261E-01  7.00000E-01  7.00000E-01 
