time (s),leafValue( VT("/Vout") "Design_Point" 1 ) (V),leafValue( VT("/Vin") "Design_Point" 1 ) (V),leafValue( IT("/IPRB_LOAD/PLUS") "Design_Point" 1 ) (A)
1.09168430054E-6,910.073620579E-3,1.00000000000,100.000000000E-3
1.09274945617E-6,908.631786122E-3,1.00000000000,100.000000000E-3
1.09360667021E-6,908.224224288E-3,1.00000000000,100.000000000E-3
1.09438306498E-6,908.443413370E-3,1.00000000000,100.000000000E-3
1.09515141622E-6,909.134446402E-3,1.00000000000,100.000000000E-3
1.09594259946E-6,910.188010875E-3,1.00000000000,100.000000000E-3
1.09682649380E-6,911.525406926E-3,1.00000000000,100.000000000E-3
1.09798037123E-6,913.043254692E-3,1.00000000000,100.000000000E-3
1.09889379814E-6,913.784004361E-3,1.00000000000,100.000000000E-3
1.09987108066E-6,913.920400686E-3,1.00000000000,100.000000000E-3
1.10074146540E-6,913.425153332E-3,1.00000000000,100.000000000E-3
1.10155662751E-6,912.484221962E-3,1.00000000000,100.000000000E-3
1.10238864015E-6,911.175208872E-3,1.00000000000,100.000000000E-3
1.10328992282E-6,909.572655387E-3,1.00000000000,100.000000000E-3
1.10440454482E-6,907.704771607E-3,1.00000000000,100.000000000E-3
1.10535507426E-6,906.471253746E-3,1.00000000000,100.000000000E-3
1.10644974424E-6,905.690964303E-3,1.00000000000,100.000000000E-3
1.10739476489E-6,905.621038352E-3,1.00000000000,100.000000000E-3
1.10827432217E-6,906.009665678E-3,1.00000000000,100.000000000E-3
1.10917522074E-6,906.728897616E-3,1.00000000000,100.000000000E-3
1.11015756637E-6,907.659778816E-3,1.00000000000,100.000000000E-3
1.11141901476E-6,908.662131935E-3,1.00000000000,100.000000000E-3
1.11244829245E-6,909.075215736E-3,1.00000000000,100.000000000E-3
1.11355325062E-6,908.953636071E-3,1.00000000000,100.000000000E-3
1.11454546958E-6,908.339619508E-3,1.00000000000,100.000000000E-3
1.11549340397E-6,907.394869598E-3,1.00000000000,100.000000000E-3
1.11649217627E-6,906.194436211E-3,1.00000000000,100.000000000E-3
1.11765846947E-6,904.820002335E-3,1.00000000000,100.000000000E-3
1.11881658097E-6,903.760930950E-3,1.00000000000,100.000000000E-3
1.12014583480E-6,903.153499542E-3,1.00000000000,100.000000000E-3
1.12124485884E-6,903.171102776E-3,1.00000000000,100.000000000E-3
1.12227928033E-6,903.539518850E-3,1.00000000000,100.000000000E-3
1.12336083805E-6,904.120244144E-3,1.00000000000,100.000000000E-3
1.12461777459E-6,904.760196347E-3,1.00000000000,100.000000000E-3
